date_heure_dernier_changement,date_heure_creation,departement,Latitude,Longitude,id,direction,equipement,date_installation,Description,emplacement,route,longueur_troncon_km,vitesse_poids_lourds_kmh,vitesse_vehicules_legers_kmh
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.755658,-3.239926,13666,Lanester vers Merlevenez,MORPHO,2012-01-10T00:00:00Z,Radar fixe,KERVIGNAC,RD194,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.8395,-3.34053,13667,ROSCOFF vers LORIENT,MORPHO,2012-05-31T00:00:00Z,Radar fixe,CAUDAN,RD769,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,48.022,-2.8202,13668,PONTIVY vers JOSSELIN,MORPHO,2012-03-15T00:00:00Z,Radar fixe,EVELLYS,RD764,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.664,-2.7858,13669,Nantes vers Brest,MORPHO,2012-10-20T00:00:00Z,Radar fixe,VANNES,RN165,,,90
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.62196,-2.8972,13670,Vannes vers Auray,MORPHO,2012-01-10T00:00:00Z,Radar fixe,BADEN,RD101,,,80
2018-09-05T12:20:39Z,2018-09-05T12:20:39Z,56,47.671,-2.9395,14202,BREST vers NANTES,PARIFEX,2016-10-17T00:00:00Z,Radar discriminant,PLUNERET,RN165,,80,110
2018-09-05T12:20:45Z,2018-09-05T12:20:45Z,56,47.78869,-3.25268,14274,NANTES VERS BREST,MORPHO,2005-11-08T00:00:00Z,Radar fixe,KERVIGNAC,RN165,,,110
2018-09-05T12:20:45Z,2018-09-05T12:20:45Z,56,48.08683,-3.55049,14275,DOUBLE SENS,MORPHO,2004-10-19T00:00:00Z,Radar fixe,LE SAINT,RD769,,,80
2018-09-05T12:21:11Z,2018-09-05T12:21:11Z,56,47.69517,-2.55471,14593,DOUBLE SENS,MORPHO,2008-12-17T00:00:00Z,Radar fixe,ELVEN,RD775,,,80
2018-09-05T12:21:11Z,2018-09-05T12:21:11Z,56,47.77714,-3.27432,14594,DOUBLE SENS,MORPHO,2008-11-19T00:00:00Z,Radar fixe,KERVIGNAC,RD781,,,80
2018-09-05T12:21:11Z,2018-09-05T12:21:11Z,56,47.55618,-2.39572,14595,DOUBLE SENS,MORPHO,2008-12-17T00:00:00Z,Radar fixe,MARZAN,RD139,,,80
