date_heure_dernier_changement,date_heure_creation,departement,latitude,longitude,id,direction,equipement,date_installation,type,emplacement,route,longueur_troncon_km,vitesse_poids_lourds_kmh,vitesse_vehicules_legers_kmh
2018-06-28T12:24:19Z,2018-06-28T11:06:32Z,57,49.11907,6.20408,12923,Vallières les Bordes vers Bellecroix,FARECO,2010-02-12T00:00:00Z,Radar feu rouge,METZ,,,,
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,80,49.95842,2.85479,13598,PARIS VERS LILLE,MORPHO,2003-11-05T00:00:00Z,Radar fixe,HEM MONACU,A1,,,130
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,91,48.67029,2.27976,13599,PARIS VERS MONTLHERY,MORPHO,2003-10-31T00:00:00Z,Radar fixe,LA VILLE DU BOIS,RN20,,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,91,48.63212,2.4065,13600,PARIS VERS CORBEIL ESSONNES,MORPHO,2003-10-31T00:00:00Z,Radar fixe,COURCOURONNES,A6,,,110
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,78,48.83313,2.08501,13601,TRAPPES VERS PARIS,MORPHO,2003-10-30T00:00:00Z,Radar fixe,BAILLY,A12,,,110
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,86,46.55483,0.28342,13602,BORDEAUX VERS PARIS,MORPHO,2003-11-04T00:00:00Z,Radar fixe,VOUNEUIL SOUS BIARD,A10,,,130
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,67,48.57066,7.73904,13603,STRASBOURG VERS PARIS,MORPHO,2003-10-31T00:00:00Z,Radar fixe,STRASBOURG,RN4,,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,67,48.67772,7.77558,13604,STRASBOURG VERS LAUTERBOURG,MORPHO,2003-10-31T00:00:00Z,Radar fixe,HOERDT,A35,,,130
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,06,43.655729,7.161446,13605,ST LAURENT DU VAR vers VILLENEUVE LOUBET,MORPHO,2012-02-13T00:00:00Z,Radar fixe,CAGNES SUR MER,Face au n° 46 du  Boulevard de la Plage,,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,06,43.712,7.2714,13606,Avenue Georges 5 vers bd Dubouchage,MORPHO,2012-03-05T00:00:00Z,Radar fixe,NICE,Face au 37 Boulevard de Cimiez,,,50
